"Drug","User","Date","Period","Review","Score","Likes","Page"
"Cariprazine","Kenzie","December 13, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 HORRIBLE. My psychiatrist put me onto this a few weeks ago. It made me feel loopy and drowsy so taking it at night wasn’t a problem, however as soon as I would take it immediately I would fall asleep. I would then wake up at the slightest sound and not be able to go back to bed. I also had the side effect of akathisia that would keep me up. It was to the point I had to pace around to keep myself at bay. Sitting down was uncomfortable, standing up was uncomfortable as well. I also did not see much of difference in my mood. I just got switched to latuda due to these issues..hopefully it works.",0,10,2
"Cariprazine","Brittany","December 12, 2019","-","<b>Vraylar (cariprazine):</b>			 I am already so thankful to get off my last medication. I have been extremely restless at night, but I am still at to wake everyday at 5am and work a laborious 10 hour shift. I appreciate this after having to endure three months of lithium while working as an automotive technician. I am still with a clear head, and I haven't noticed any significant anxiety problems such as my last medication. Although, it will take weeks such as lithium to see what will actually take place, my digestive problems have diminished (huge cry out!!). I do have problems with appetite but not to a point where it has affected me while actually sitting down with food. I tend to enjoy that part no matter, and I've take medication that completely shuts off your enjoyment of food. Overall, I am ok with seeing if this will improve a long the way down and test out the symptoms that will occur.",0,4,2
"Cariprazine","SassyGurl41","December 8, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 I love this medication!!! I feel better, act better, can tolerate just about anything now. I take 3mg and feel its the best for me right now.  Taking new medication is scary but Vraylar was by far the best decision.  I am happy now!! I think clearly. I smile. I laugh. I do things now. I get out of bed and have a purpose. I love my life. I do have blurred vision with Vraylar but I also feel its because I need a eye exam. I sleep great in vraylar and I actually have lost weight.  I would tell this person reading this please try it and I feel and hope you will love it as much as I do.  Best medication EVER",0,48,2
"Cariprazine","Kate","December 4, 2019","Taken for 1 to 2 years","<b>Vraylar (cariprazine):</b>			 It works really well for me, but I have been having a problem getting the drug—I was told there is a shortage on manufacturing and my pharmacist is having problems ordering it!",0,8,2
"Cariprazine","Empanada69","December 4, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 My experience with this drug is somewhat good I no longer hallucinate and I’ve seen to focus better at school",0,7,2
"Cariprazine","Cattownfl","November 30, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 Worked great for a few months, then gave me really bad anxiety and racing thoughts. I want off this.",0,12,2
"Cariprazine","Shannon","November 28, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 I've been taking Vraylar for 5 weeks 1.5 mg and I can't sleep more than 2-3 hrs a night. It has made my blood pressure go up. I also feel restless and have anxiety I've never had before. I'm being treated for bipolar and manic disorder my energy is gone I'm tired all the time. Not for me I'm going to stop taking it today was on line reading reviews to see why I feel the way I do. Well now I know",0,15,2
"Cariprazine","Yuko","November 26, 2019","-","<b>Vraylar (cariprazine):</b>			 I was on lamictal 200XR and Geodon 40 Mg switching to Vrylar 3mg. I have not enjoyed the switch. I have a job that requires me to make decisions quickly, be calm, and teach others. Since starting the Vrylar I have not been able to talk without having a hard time finding my words. I feel angry, and can not handle any stress. My body feels like I need to just move and can not be comfortable with any position. My eyes are heavy and I feel like I could just fall asleep if I didn’t fight it.  I just feel so out of touch with who I am behavioral wise since taking this in a negative way.  I would not recommend this. I am stopping the medication with my doctors help.",0,14,2
"Cariprazine","MJ2645","November 23, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 I took Vraylar as an add on along side Wellbutrin and Lithium for Major depressive disorder. I took the med as directed at night, went to bed. The next morning I got out of bed walked a few paced and then my ears started ringing, I got sweaty, my vision dimmed and I passed out on the floor. My mom (who has a background in nursing) had to revive me. Both my blood sugar and blood pressure had crashed. I picked up the medication info. for Vraylar looked it over and saw that the med. may lower your blood sugar and blood pressure.  So the moral of the story for me was always read the med. info packet.  Also if you have naturally low blood pressure or blood sugar issues you'd be better off not taking this med.  (Note: I am not a M.D. and this is just my opinion from my own personal experience with the drug.)",0,18,2
"Cariprazine","wolfdog777","November 22, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 I got insomnia starting the 2nd day and could only sleep with Olanzapine. After a couple weeks I decided to stop, and the withdrawal was so bad. I couldn't sleep, even with 15mg Olanzapine, my heart was beating super fast, I had a pseudo panic attack (and I don't suffer from anxiety at all, it never happened to me before) and only managed to calm down and sleep because I was given   an Ativan (Lorazepam). Don't get me wrong, if this drug works for you, great. But for me, it was the worst reaction I ever had to a drug, and I've been on countless anti-depressants, mood stabilizers and anti-psychotics.",0,15,2
"Cariprazine","BipolarCoaster","November 20, 2019","-","<b>Vraylar (cariprazine):</b>			 Had a bad experience with Zyprexa  for bipolar so my doc switched me to 1.5mg of Vraylar. I was so excited at first because it’s been said to be the best of the best. First few days, I felt...off. I chalked it up to coming off of Zyprexa. By day 5, I couldn’t sleep more than 2-3 hours IF I was lucky. I’d wake up with chest and stomach pain filled anxiety. No appetite whatsoever. Felt like my skin was crawling. I tend to be fearful of starting new meds so I asked my doc if it was normal and he just I was experiencing my  condition  and not the meds. So, like an idiot I gave it another week. The problems only worsened. I cried everyday because my body and emotions felt so uncomfortable. The anxiety was to the point I couldn’t leave the house. All I did was want to scream and self harm (never had that desire before). I’m now three days off and the anxiety and insomnia are still very VERY real. I just want to feel better. Please use caution with this drug. It’s been terrifying for me.",0,26,2
"Cariprazine","ugh","November 19, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 Side effects of Vraylar akathisia, insomnia, mild hallucinations, rashes, nausea, double vision, worst med I've ever been on.",0,10,2
"Cariprazine","kuno","November 18, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 I've been on this rollercoaster of a med for two weeks now. At first, I could have sworn I was as good as new except for the insomnia. Come day eight or so, I was crawling out of my skin. Jerking arms, wringing feet, and nearly impossible to sleep. Worst akathisia I ever got from a med. Also, double vision, nausea, and constipation. I'm at two weeks akathesia to the point of not being able to sleep. Actually having mild hallucinations at this point. All I feel like on this med is a guinea pig.",0,16,2
"Cariprazine","ichi","November 14, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 On Vraylar I had horrendous akathisia for two weeks with insomnia averaging 90 minutes a night. Junk should be taken off the market",0,11,2
"Cariprazine","Jen","November 14, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 I will start tonight.  I've been reading all comments so I will give it a chance, they give me 1.5. I’m bipolar and anxiety and panic attacks and paranoid and seroquel was not helping me at all",0,7,2
"Cariprazine","Angel","November 11, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 I love Vraular so far. Really has helped me see life a different way. I feel more optimistic and happy. A problem that I have noticed is I have become more agitated but I’ve only just started the medicine two weeks ago. So hopefully the agitation will go away.",0,15,2
"Cariprazine","MythCalledLove","November 8, 2019","-","<b>Vraylar (cariprazine):</b>			 After trying numerous meds this finally worked for me. The only bad part is it has caused me to gain 20lbs. I started at 155 now I'm 175. It makes me constantly hungry. Why did I rate it so high?  I finally felt feel like the old me. I have energy my moods are better controlled  And it controls my anxiety. The pluses outnumber the negatives. I started on the lowest dose now I'm on 3 mg. It made me nauseous and irritible the first few days. But I noticed the difference quickly. I hope this will help someone that is looking for a new med.",0,34,3
"Cariprazine","Star","November 5, 2019","-","<b>Vraylar (cariprazine):</b>			 Vraylar is the first antipsychotic I've tried for my recent diagnosis of bipolar disorder. Even in just a few days, I noticed such a change. I was happy, motivated, not snapping on everyone, the list goes on. It was really GREAT! However.... now I am experiencing horrific vertigo, to the point to where I am falling and getting injured. Stopped taking the med (lowest dose, 1.5mg) 3 days ago and I cannot wait until it is out of my system. Also, noticed some bad rebound agitation.  Maybe because I am so worried and anxious about my dizziness, but the agitation is pretty bad.  *took for two days, stopped for four days (was getting bad leg cramps and NP advised me to stop this and see if that was the cause). Started back and was going on four days and the charley horses and dizziness began. Kept taking the med until day six. Now awaiting to see if stopping the med will make the dizziness go away. Vraylar has a looooong half life, so it can take several weeks to clear ones body.",0,10,3
"Cariprazine","Stee","November 4, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 After 20 years of being medicated, I can finally say that I’ve found a pill that makes people feel more violent. It’s Vraylar. I took it for about 10 days. I felt myself becoming more angry and easily agitated as I continued to take it. I took it at night and would notice myself becoming a bit insane around 2pm everyday. I’m literally afraid of this medication.",0,15,3
"Cariprazine","ReLeBe","November 1, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 I was given Vraylar 3mg (samples because I couldn't afford it even with insurance!) for my  bipolar/manic episodes uncontrolled by other meds.. Unfortunately I didn't get to see if it worked because 4 days of massive migraine type headaches and nausea (some with vomiting, sometimes w/o) I stopped for a little over a week and the headache and nausea went away IMMEDIATELY. Doctor encouraged me to try again (1.5mg this time) I took it for 3 days... same scenario. I read the side effects and both are listed there but this wasn't just slight discomfort, it was SEVERE. I asked my Doc if I might be allergic he said it was just the side effects and I should push through, but it was not going to happen. After reading ALL OVER THE internet anything Vraylar related, and speaking with a few people who have taken it, I have found only 25-30% have seen benefits from this medication. Maybe if that number was higher.. I might have  pushed through  but I'm just not seeing the point.",0,14,3
"Cariprazine","Heather","October 30, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 I just started Vraylar and don't really notice a difference in my moods. I have slept horribly the last two nights tossing and turning and waking up at odd hours. During the day I'm tired and sluggish.",0,13,3
"Cariprazine","Kay","October 29, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 20 years old, Female with bipolar. The first few weeks on Vraylar I experienced restlessness, drowsiness and hot flashes. After my body adjusted to the medication, all I can say is that it’s worked wonders for me. I haven’t had any mood swings, I feel as stable as I’ve been for years, and will continue taking this medication. Glad to have found something that finally works. Thanks Vraylar!",0,29,3
"Cariprazine","Momof5","October 20, 2019","Taken for 2 to 5 years","<b>Vraylar (cariprazine):</b>			 I’ve been taking 200mg Seroquel (helps me sleep) with 3mg Vraylar and my bipolar 1 is totally under control for the past 3 years.   Vraylar doesn’t make me tired but with the Seroquel I’m in great shape.   Thank God and my doctor.",0,26,3
"Cariprazine","ElusiveAnomaly","October 16, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 I have been on Vraylar for two weeks for bipolar depression. I take 3mg at bedtime. The first day after I had taken it the Vraylar sent me into a manic state.The second day I was equally manic but the mania was more or less controllable if that makes sense...Haha. Two weeks in I can feel the Vraylar working because I’m more optimistic toward life. I look forward to things again. Only side effects I had were slight fatigue and of course the first few days of mania. I do recommend this drug if you’re feeling empty and alone and just want to be left alone all together. I’m grateful to actually laugh again.",0,39,3
"Cariprazine","Sandy","October 6, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 I am 72 and have had bipolar 1 since the age of 15. I have never been well since menopause age 50, and have tried every drug on the market. Finally, I went to a new doctor (NP) who put me on Vraylar. I was very wary of anti-psychotics because I started getting really shaky with Seroquel and Zyprexa. However, Vraylar seems OK. I have been on it for 3 months, started on 1.5 for 7 days, had to go up to 3mg due to a big manic episode that last 8 days. Vraylar stopped it the next day. The problems have been exceptionally vivid dreams and insomnia. I take many other things for insomnia, but nothing works. I have been lying awake for hours ever since starting this medication. It is such a shame as I have never felt better in my life. I am going to see my doctor on Wednesday to see what she thinks.",0,37,3
"Cariprazine","SarahDaydreams","October 4, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 Other than the restless legs and sleep disruption, which goes away after a few weeks, Vraylar is the first medication I have found that really works for me, and worked quickly, too. I tried about 7 different antipsychotics before finding this one, and it has truly helped with my depression and mood swings. I can still feel my cycles trying to pull me in those directions, but it's like I have a choice now, and the option to make rational decisions.",0,37,3
"Cariprazine","Anonymous","October 3, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 This garbage turned my love into an unrecognizable monster , stay as far away from this as you can",0,21,3
"Cariprazine","Lola","September 28, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 I have Major depressive disorder w/psychotic features and I took Vraylar for 1st time last night, woke up with extreme headache, nausea, couldn't stop throwing up. I don't know if they could've been the med just taking it one time, idk, but seems too coincidental. I am scared to take again.",0,18,3
"Cariprazine","McSkipus","September 19, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 I've been on 1.5mg about 3 weeks now. I have bipolar and my manic and depressive swings were almost instantly balanced out, however I do feel more activated than previously when I was on geodon. That's not necessarily a problem. Consistently waking up for the day at 4 a.m. but feel well-rested and ready. Only other thing I would say is that I haven't felt this clear-headed in years. No immediate side effects.",0,62,3
"Cariprazine","Holly3","September 16, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 I have Bipolar I. Have tried every drug out there and was excited at what Vraylar promised. My moods were rapid cycling and I was already on 2 mood stabilizers. Both depression &amp; mania were exaggerated. At 1st the Vraylar was great. I felt normal for the 1st time in a long time. I was on 3 mg. By the end. Bad news, I gained 65 pounds in 4 months. I had to get off the medication. Cholesterol also went up.",0,39,3
"Cariprazine","RKW","September 12, 2019","-","<b>Vraylar (cariprazine):</b>			 I had become extremely manic from Lupron ,which I was taking as part of endocrine therapy for the prevention of breast cancer. My doctor put me on Latuda, which made me more manic and landed me in the hospital twice. I asked for Seroquel just to reign it in, but my outpatient psychiatric is not a fan of Seroquel and neither am I because it’s so mind-numbing and sedating. He put me on Vraylar and it worked magic. I had zero side effects, which for me is highly unusual since I often have even rare side effects from most drugs. As for weight gain, I haven’t noticed any from it. I’ve gained 5 lbs but it’s not from Vraylar but from an increase in Paxil which I take for agitation and anxiety. Vraylar is the first anti-psychotic I’ve ever taken that didn’t have severe side effects",0,37,3
"Cariprazine","Shirl","September 11, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 Been on Vraylar 1.5 mg for a month now. My mood swings have improved greatly. Do not like the feeling of being extremely tired all the time.",0,25,3
"Cariprazine","Ali","September 11, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 Am Bipolar I, was having a terrible episode of depression and 1.5mg of Vraylar  made it disappear in less than a month.  It IS causing weight gain.  But I haven't felt this balanced and upbeat in a very long time.  Thank heaven's my psychiatrist is providing samples as the cost is absurd, even with insurance.  Also take 45mg Mirtazapine at bedtime (for depression/anxiety/sleep), take the Vraylar in a.m. &amp; 1 mg of Klonopin 3 times a day.  Haven't felt this good in decades.",0,34,3
