"Name","Generic","HTML","Reviews","NumReviews","Score","Popularity","Classes","Off Label"
"lamotrigine","lamotrigine","https://www.drugs.com/mtm/lamotrigine.html","https://www.drugs.com/comments/lamotrigine/for-anxiety.html",60,"6.8",6,"triazine anticonvulsants  ","Yes"
"Tenormin","atenolol","https://www.drugs.com/tenormin.html","https://www.drugs.com/comments/atenolol/tenormin-for-anxiety.html",4,"9.0",6,"cardioselective beta blockers  ","No"
"tramadol","tramadol","https://www.drugs.com/tramadol.html","https://www.drugs.com/comments/tramadol/for-anxiety.html",83,"9.4",6,"narcotic analgesics  ","Yes"
"Tranxene","clorazepate","https://www.drugs.com/cons/tranxene.html","https://www.drugs.com/comments/clorazepate/tranxene-for-anxiety.html",13,"9.6",6,"benzodiazepines  ","No"
"Alprazolam Intensol","alprazolam","https://www.drugs.com/cdi/alprazolam-intensol.html","https://www.drugs.com/comments/alprazolam/alprazolam-intensol-for-anxiety.html",6,"10",5,"benzodiazepines  ","No"
"atenolol","atenolol","https://www.drugs.com/atenolol.html","https://www.drugs.com/comments/atenolol/for-anxiety.html",37,"7.8",5,"cardioselective beta blockers  ","No"
"Lorazepam Intensol","lorazepam","https://www.drugs.com/cons/lorazepam-intensol.html","https://www.drugs.com/comments/lorazepam/lorazepam-intensol-for-anxiety.html",3,"10",5,"benzodiazepines, miscellaneous antiemetics, benzodiazepine anticonvulsants","No"
"risperidone","risperidone","https://www.drugs.com/risperidone.html","https://www.drugs.com/comments/risperidone/for-anxiety.html",46,"5.3",5,"atypical antipsychotics  ","Yes"
"clorazepate","clorazepate","https://www.drugs.com/mtm/clorazepate.html","https://www.drugs.com/comments/clorazepate/for-anxiety.html",37,"9.0",3,"benzodiazepines  ","No"
"Diazepam Intensol","diazepam","https://www.drugs.com/cdi/diazepam-intensol.html","https://www.drugs.com/comments/diazepam/diazepam-intensol-for-anxiety.html",3,"10",3,"benzodiazepines, benzodiazepine anticonvulsants ","No"
"doxepin","doxepin","https://www.drugs.com/mtm/doxepin-sinequan.html","https://www.drugs.com/comments/doxepin/for-anxiety.html",31,"6.7",3,"miscellaneous anxiolytics sedatives and hypnotics, tricyclic antidepressants ","No"
"oxazepam","oxazepam","https://www.drugs.com/mtm/oxazepam.html","https://www.drugs.com/comments/oxazepam/for-anxiety.html",50,"8.6",3,"benzodiazepines  ","No"
"Paxil CR","paroxetine","https://www.drugs.com/mtm/paxil-cr.html","https://www.drugs.com/comments/paroxetine/paxil-cr-for-anxiety.html",10,"8.6",3,"selective serotonin reuptake inhibitors  ","No"
"amitriptyline / perphenazine","amitriptyline / perphenazine","https://www.drugs.com/mtm/amitriptyline-and-perphenazine.html","https://www.drugs.com/comments/amitriptyline-perphenazine/for-anxiety.html",7,"9.7",2,"psychotherapeutic combinations  ","No"
"chlordiazepoxide","chlordiazepoxide","https://www.drugs.com/mtm/chlordiazepoxide.html","https://www.drugs.com/comments/chlordiazepoxide/for-anxiety.html",31,"8.0",2,"benzodiazepines  ","No"
"oxcarbazepine","oxcarbazepine","https://www.drugs.com/mtm/oxcarbazepine.html","https://www.drugs.com/comments/oxcarbazepine/for-anxiety.html",24,"6.1",2,"dibenzazepine anticonvulsants  ","Yes"
"Pexeva","paroxetine","https://www.drugs.com/mtm/pexeva.html","https://www.drugs.com/comments/paroxetine/pexeva-for-anxiety.html",3,"9.0",2,"selective serotonin reuptake inhibitors  ","No"
"phenytoin","phenytoin","https://www.drugs.com/phenytoin.html","https://www.drugs.com/comments/phenytoin/for-anxiety.html",2,"8.5",2,"hydantoin anticonvulsants, group I antiarrhythmics ","Yes"
"prochlorperazine","prochlorperazine","https://www.drugs.com/mtm/prochlorperazine-oral-injection.html","https://www.drugs.com/comments/prochlorperazine/for-anxiety.html",47,"2.2",2,"phenothiazine antiemetics, phenothiazine antipsychotics ","No"
"desvenlafaxine","desvenlafaxine","https://www.drugs.com/mtm/desvenlafaxine.html","https://www.drugs.com/comments/desvenlafaxine/for-anxiety.html",157,"7.2",1,"serotonin-norepinephrine reuptake inhibitors  ","Yes"
"nadolol","nadolol","https://www.drugs.com/mtm/nadolol.html","https://www.drugs.com/comments/nadolol/for-anxiety.html",2,"7.0",1,"non-cardioselective beta blockers  ","No"
"nefazodone","nefazodone","https://www.drugs.com/mtm/nefazodone.html","https://www.drugs.com/comments/nefazodone/for-anxiety.html",8,"8.0",1,"phenylpiperazine antidepressants  ","Yes"
"amitriptyline / chlordiazepoxide","amitriptyline / chlordiazepoxide","https://www.drugs.com/mtm/amitriptyline-and-chlordiazepoxide.html","https://www.drugs.com/comments/amitriptyline-chlordiazepoxide/for-anxiety.html",4,"9.8",0,"psychotherapeutic combinations  ","No"
"meprobamate","meprobamate","https://www.drugs.com/mtm/meprobamate.html","https://www.drugs.com/comments/meprobamate/for-anxiety.html",12,"8.3",0,"miscellaneous anxiolytics sedatives and hypnotics  ","No"
"Tranxene T-Tab","clorazepate","https://www.drugs.com/mtm/tranxene-t-tab.html","https://www.drugs.com/comments/clorazepate/tranxene-t-tab-for-anxiety.html",1,"10",0,"benzodiazepines","No"
"trifluoperazine","trifluoperazine","https://www.drugs.com/mtm/trifluoperazine.html","https://www.drugs.com/comments/trifluoperazine/for-anxiety.html",7,"8.0",0,"phenothiazine antipsychotics","No"
"vilazodone","vilazodone","https://www.drugs.com/mtm/vilazodone.html","https://www.drugs.com/comments/vilazodone/for-anxiety.html",53,"6.1",0,"miscellaneous antidepressants","Yes"
