"Drug","User","Date","Period","Review","Score","Likes","Page"
"Amphetamine","shell","September 12, 2019","Taken for 1 to 6 months","<b>Adzenys XR-ODT (amphetamine):</b>			 Vyvanse was too expensive and insurance didn't cover. I had a coupon for Adzenys. $50.00 a month with coupon. Both did well at controlling my anxiety related to ADD.  I focus a good 8 hours with Adzenys. The packaging is a pain to open. It tastes really good and I've had NO dry mouth!!!! Makes me wonder how I made it without saliva the previous year.",0,3,1
"Amphetamine","Mcnulty","August 16, 2019","-","<b>Evekeo (amphetamine):</b>			 Was prescribed concerta, Adderall, strattera, and vyvanse. All worked for a bit and ceased to work and gave me awful side effects. At least with evekeo and the generic kind, I have control of dosing and it’s always persistent.",0,3,1
"Amphetamine","Dani","August 11, 2019","Taken for 1 to 2 years","<b>Dyanavel XR (amphetamine):</b>			 My son has been on this for a year. I love this medication since little to no side effects. His focus and constant going has improved dramatically yet not a zombie and can sleep and eat with no problem. No crankies when wears off either. He hates the taste. Only issue is the coupon for$20 a month just expired. They gave new number but the price really went up. This month is now $228!!!! May have to find new type and I’m quite sad about that!!!   I was denied even with prior approval from doctor. Darn it!!!",0,8,1
"Amphetamine","Gandhi","August 9, 2019","Taken for less than 1 month","<b>Adzenys XR-ODT (amphetamine):</b>			 CAUTION!!! THIS DRUG IS DANGEROUS!!! The Cons outweigh the Pros. I took this drug to treat my ADHD. I did make me focus more and that's the only positive thing I could say. Other than the physical side effects like gum bleeding, hair falling, cold sweats and insomnia. The emotional side effects included loss of personality, made me  feel more psychotic. STAY AWAY FROM ADZENYS.",0,2,1
"Amphetamine","Dixiegirl","August 7, 2019","Taken for 1 to 6 months","<b>Evekeo (amphetamine):</b>			 After both ritalin and adderall aggravate my anxiety and caused my heart to race, my doctor suggested evekeo. It did not cause my heart to race, but I was only on 5mg and it did not help my symptoms. My doctor upped me to 10mg, but I was unable to afford it even with the copay card because I don't have very good insurance. I'm trying to find a way to afford it because it was so great to find an ADHD med that didn't cause my heart to race like others.",0,4,1
"Amphetamine","Emily","August 2, 2019","Taken for 1 to 6 months","<b>Adzenys XR-ODT (amphetamine):</b>			 I've had ADHD since childhood. When I got to high school it became unmanageable. I went on low dose adderrall. When I turned 18 I stopped going to the doctor. When I started working my ADHD disrupted my work, so I went to a psychiatrist and was prescribed adzenys. Another reviewer described it as an other worldly feeling which sounds about right. After about 6 months on the medication I fell into a psychotic episode. I was taken off adzenys. The psychosis subsided after a couple of days. It was determined that the psychosis was a side effect of adzenys and not a symptom of a mental health condition. Now I'm not allowed to take any amphetamine medications (besides strattera which doesnt work). Adderrall worked for me for years with no side effects, but it just so happened that my new psychiatrist prescribed adzenys as ADHD medicine for all patients. This medication ruined my treatment of ADHD for life and has given me a poor prognosis for the future.",0,3,1
"Amphetamine","Dina","June 6, 2019","Taken for less than 1 month","<b>Evekeo (amphetamine):</b>			 Having a high metabolism, my medications wear off very quickly. Dr and I talked about trying Evekeo but decided to try adding one more dose of Adderall XR to the mix. When that didn’t help, tried Evekeo and discountinued the  Adderal XR but kept the afternoon doses of IR. As for Evekeo,  I had a very bad reaction to it. My face broke out and not pimples but sores that are now going to scar My depression (which I haven’t had in awhile due to consistency of taking medication) was three times worse, I went to  a very dark place, I went days without sleeping, no motivation or drive to do anything, very irritable, very mean, not social at all, terrible intrusive thinking, pushed away anyone that was close to me, no appetite at all, headaches, muscle soreness and vomiting/diarrhea. Thankfully we stopped the medication, but I don’t want to feel like this ever again!",0,5,1
"Amphetamine","Ang","May 13, 2019","Taken for 1 to 2 years","<b>Dyanavel XR (amphetamine):</b>			 My 10 year old has been on this for 2 years, we were the guinea pigs and were the first to try this medicine at his doctors office and it has literally been a lifesaver. His WHOLE life that he has had ADHD has now changed for the better after starting Dyanavel.  The school has noticed a huge change for the better and he actually enjoys life now. *He is on 7 mg daily*",0,10,1
"Amphetamine","Beck","April 27, 2019","Taken for less than 1 month","<b>Evekeo (amphetamine):</b>			 I was switched from Adderall 20mg tablets that I was taking PRN so not every day to the Evekeo. I asked to try something else because the Adderall would wear off quickly and I felt like I needed to take several pills back to back. I'm not a fan of taking meds in the first place so this was a problem for me. My doc made the switch to Evekeo 10mg once a day but advised me to taper myself until I felt it working. I'm in healthcare so no problem tapering and keeping track. Being that it was new to me I started by taking 2.5mg and tapering up over the span of several days. I didn't feel a single thing all the way up to when I finally tapered to 20mg all at once. The only things I think I felt from it was paranoia/anxiety (that seemed to come out of nowhere) and craving beer... I hate beer! During this trial my productivity and focus tanked. I waited a day and took one of my old adderall and it worked like a charm. In conclusion, I can't say this is bad for everybody but it's definitely not for me.",0,6,1
"Amphetamine","SymptomSavant","March 10, 2019","Taken for 6 months to 1 year","<b>Adzenys XR-ODT (amphetamine):</b>			 I’ve taken several medications for my ADD, and none of them worked as well as Adzenys. Vyvanse was good, too, but I still felt a somewhat noticeable crash with it. I didn’t believe my doctor when he said Adzenys didn’t have a crash, but he was right.. at least for me.. I feel no crash; the effect smoothly tapers off, and it’s actually much easier for me to fall asleep now. I highly recommend giving Adzenys a try if your current ADD med is giving you side effects.",0,15,1
"Amphetamine","Skiguy","February 4, 2019","-","<b>Dyanavel XR (amphetamine):</b>			 ADHD daughter age 6 was prescribed this after bad temper, audio hallucinations from adderall. Has been on 4ml for almost 2 years. Its worked wonderfully, no crashes or any side effects. As little as 2 ml on weekends helps her focus.  She has kept her appetite. After over 2 years we're going to discuss increasing her dosage and I  think she has built up a tolerance. The drug now tapers off after 4 hours almost, where as before it would last 6-8.",0,7,1
"Amphetamine","Micah","February 2, 2019","Taken for less than 1 month","<b>Adzenys XR-ODT (amphetamine):</b>			 I've taken many stimulants, and they all come with a horrible crash. Adderall IR, Ritalin, Vyvanse, Concerta; and they really didn't help me focus on important things. Adzenys-- so far-- has been by far the best stimulant for me. I have a history of brain injuries and struggled w/ fatigue (causes depression). Other stimulants helped me exercise, but my heart rate was too much. On this, my heart rate is normal; and I have my old stamina. If you are someone who struggles w/ fatigue, this is great. It's not for everyone, I don't get that bad taste thing people comment on. Most medications that dissolve are disgusting, this one is painless. Hope it works for others like it did for me.",0,12,1
"Amphetamine","Paris","January 16, 2019","Taken for 1 to 6 months","<b>Evekeo (amphetamine):</b>			 I've tried several ADHD meds and this is hands down the best. No side effects at all. There is finally a generic, so please ask your doctor to try this. Can get as cheap as $18 compared to $632",0,10,1
"Amphetamine","Vincent Vega","January 16, 2019","Taken for 1 to 6 months","<b>Evekeo (amphetamine):</b>			 33 year old male. I have been off and on stimulants my whole life. I take lamictal, Cymbalta, Xanax and Evekeo.  Evekeo has been an excellent medication for me and it just went generic which is a huge plus. I don't get the tunnel vision that adderall gave me, or the extremely anxious and depressed feelings I got from Adderall. Ritalin made my body, even my bones ache. I felt like I had the flu and it actually made me less effective. Vyvanse made my blood pressure extremely high and I felt like I metabolized the dose extremely fast. I felt somewhat manic on the medication. I take 30 mg of Evekeo 10, 3x per day.",0,9,1
"Amphetamine","adhdgirl","November 28, 2018","Taken for 1 to 6 months","<b>Evekeo (amphetamine):</b>			 Vyvanse gave me a dependency to it and after a while stopped working as well and the insomnia, irritability, worsened. Then insurance stopped covering it, switched to Adderall and loved it for a while because its made me feel high. My mom thought it made me irritable and made me switch. I love Evekeo now because of the control I have with when and how much I take. No side effects so far! Also can tell I am thinking more before I speak and don't feel like an addict.",0,12,1
"Amphetamine","UnderCaffeinatedMillennial","October 11, 2018","Taken for less than 1 month","<b>Adzenys XR-ODT (amphetamine):</b>			 I just recently had to switch doctors because I moved states. Well, she switched my meds. I was on Adderall XR. It worked really well for me, but she insisted this new medication would be much better. I have now been on Adzenys for one week, and I’m miserable. I have a migraine like headache and I haven’t slept more than 3 hours at a time. I will be putting in a call tomorrow for my old adderall.",0,5,2
"Amphetamine","Mel W","October 3, 2018","Taken for less than 1 month","<b>Evekeo (amphetamine):</b>			 My doctor suggested switching me from 70mg of Vyvanse to 10mg of Evekeo (2x per day) to see if that eliminated the insomnia issue I was having with Vyvanse. After a week on Evekeo, I'd go back to Vyvanse in a heartbeat. I've been taking stimulant medication for ADD for almost 30 years, and I have never had one be utterly ineffective at helping me focus. With Evekeo, it's like I took nothing at all. Zero ability to focus. To make matters worse, I'm experiencing 6 of the main side effects, one of which is a raging headache that sticks around all day (and feels like a migraine when the med first kicks in). It makes me feel very wired and shaky, too. I just called my doctor and asked to be squeezed in ASAP so I can switch to something else (might go back to Adderall), as I cannot keep taking Evekeo for another 20+ days.",0,6,2
"Amphetamine","Rissa","September 28, 2018","Taken for 1 to 6 months","<b>Dyanavel XR (amphetamine):</b>			 This has been a great medicine for my son. He has tried 6 different meds but never stayed with them because either they didn’t last all day, stopped eating, trouble sleeping, mood swings, crashing hard when meds wore off,  ineffectiveness or turning him into a zombie. He is 5  but almost 6 yrs old and he is taking 3.5 mL at around 7 AM daily.  It wears off around 6:30 PM and there is no hard come down. Before this med, we had to give my son melatonin every night for him to be able to fall asleep before midnight. We don't have to anymore. This is also the only med where he has an appetite. I was having to force feed him his meals because he would never want to eat on other meds. Now he is eating great and healthy. It’s also so great to see my son’s personality and humor shine on this medicine because it works well enough to slow his brain down from the 100 mph it usually goes, so he can focus on saying proper sentences and conveying his thoughts, but without turning him into a zombie.",0,15,2
"Amphetamine","AllAboutMyKids","September 27, 2018","Taken for 1 to 6 months","<b>Dyanavel XR (amphetamine):</b>			 Dyanavel XR has been a blessing to my boys. ADHD highly affected them both by the time they reached third grade. My boys are both honor roll students now in a academic challenge magnet school. I too was against meds, but I had to save my boys life. The best decision I ever made. The  school is very impressed.",0,12,2
"Amphetamine","ExhaustedMother","September 13, 2018","Taken for less than 1 month","<b>Dyanavel XR (amphetamine):</b>			 The pediatrician started her on 2ml, and immediately saw an extreme improvement in school, dance and at at home. I highly recommend  this drug!",0,9,2
"Amphetamine","Anonymous","September 12, 2018","Taken for less than 1 month","<b>Dyanavel XR (amphetamine):</b>			 My son is 7 and has been on Dyanavel XR for less than a month. He was switch because of the shortage on Quillivant XR.  While my son was taking the Quillivant he was doing great in school.  I was not getting any calls from the school or anything. Overall he was doing great. In this last month of taking the Dyanavel my son has been suspend from his after school program, and just today he was suspend from school.  He totally done flipped out on the teacher, the principal and the police at the school. I will be switching medicine",0,4,2
"Amphetamine","john","September 4, 2018","-","<b>Adzenys XR-ODT (amphetamine):</b>			 I've been on a variety of ADHD medications, last being vyvanse. They have all basically been the same for me, with a somewhat high, nice focus window, and then a crash. Vyvanse lasted way too long, had a fight or flight feeling in my chest nonstop, and then made me depressed when it wore off which lasted a while. Adderall was too short and I didn't like crashing twice a day (2 pills). Adzenys XR-ODT is a good middle. Still crashes, still appetite suppression, but it is smoother and doesn't last 20 hrs like vyvanse. Only issue I have with it is it is extremely hard to locate and I have had to drive 40 minutes to a pharmacy to get it on occasion. It also comes in a large inconvenient box, instead of a pill bottle. Biggest struggle with ADHD medications is while they help me focus, they do not help me choose my focus. I can play xbox for 5 hours straight or do house work for 5 hours straight, and I have to dictate the right choice myself.",0,21,2
"Amphetamine","Leem","September 2, 2018","Taken for 6 months to 1 year","<b>Adzenys XR-ODT (amphetamine):</b>			 Okay so I started taking this medicine after switching around meds since I was about 7 but this medicine is by far the worst. When I forget to take it in the morning I suffer and have terrible tiredness. I have no energy. It’s especially bad since I’m a lifeguard and have to be alert. I wouldn’t recommend taking it. You could go to bed at regular hours and still wake up with no energy at all. Don’t get it twisted the medicine was great at first but as time has progressed I notice more and more side effects. The most prominent one is having a lack of energy during the day.",0,1,2
"Amphetamine","Jay","August 29, 2018","-","<b>Adzenys XR-ODT (amphetamine):</b>			 I've been on Adzenys for a little over a year now and have mixed feelings about the drug. I'm a 23 year old male, not taking any other medications, and in good physical condition. Currently prescribed the 15.7 mg dose, but am going to make the switch to Adderal XR for a few reasons.  First, this drug can be extremely hard to locate, and if a pharmacy doesn't have it, it tends to take a while to get it in.  Secondly, it has caused severe insomnia. I see some other people have had that subside within a few weeks but I've had it for practically the entire time. Lastly, its ability to help me maintain drive and focus is too infrequent. Sometimes it's a miracle of a drug, other times I misplace and lose things one after the other and can't remember things I had just heard or read. It's like sometimes I am completely there and focused, and other times I'm floating around if that makes any sense.",0,15,2
"Amphetamine","Mom trying to make it","August 27, 2018","-","<b>Dyanavel XR (amphetamine):</b>			 My son is 11 and we have tried multiple medications since he first started school. I was doing my best to avoid a stimulant medication but after years of him dealing with nausea from his non stimulant we decided to try something new. From day 1 we were able to see a difference. He was more focused and had little trouble staying on task. No nausea at all! He also takes a mood stabilizer to counteract the side effects of mood swings he's suffered with stimulants before. Because of our schedule, he takes it around 5am every day but it seems to wear off by noon. He's still moody but I have trouble making out if his moods are from the meds, puberty, the fact that his dad just left for a year deployment, or a mix of it all. We have noticed he had an issue with a dry and sore throat. He has no issues until after he takes it in the morning. Overall, it's better than the non stimulant meds, but I'm still pretty uncomfortable that he's taking an amphetamine medication",0,1,2
"Amphetamine","Jesse","August 20, 2018","Taken for less than 1 month","<b>Adzenys XR-ODT (amphetamine):</b>			 I told my doctor that I did great on the Vyvanse but simply could no longer afford it. Had me try the Adzenys with a free coupon, for me it seems like it has no effect on the ADHD but it does make me feel like I'm out of my body just a little bit, like on a body high which is great if you want that, but not if you need to work on your concentration. Seem to be getting very forgetful on it, missing turns while driving, or not even remembering that I had put my lunch in the work fridge. Only been on it for 15 days and will go back to Adderall after this 30 days. For me personally, Vyvanse was solid, Adderall does the job but not as smooth as Vyvanse, Adzenys makes me feel like I'm on an alcohol/drug cocktail, and Straterra gave me absolutely the worst side effects that I couldn't even finish the initial 30 day prescription. Hope this helps somebody because all I heard was good things about Adzenys and this thread helped me realize that some people were going through similar things.",0,7,2
"Amphetamine","Autumn","August 19, 2018","Taken for less than 1 month","<b>Adzenys XR-ODT (amphetamine):</b>			 I started taking Adzenys about a week ago and so far it hasn't been doing much for me besides me having side effects. I have diarrhea and my heart rate increases/feels like its beating harder. I'm worried about my heart because I have had heart problems in the past. I also feel like I'm not fully there, like I'm kind of in a daze/slow thinking. Also last night I woke up with bad anxiety and then today I feel like I want to cry all of the time. I don't know if the anxiety/crying are side effects but this is not how I usually act. I am going to take it for another week or so and only take half a pill to see if some of the side effects hopefully go away. I really want adzenys to work because it is affordable. If not, I'll probably have to go back to using vyvanse and just deal with the side effects.",0,3,2
"Amphetamine","Catdad82","August 9, 2018","Taken for 1 to 2 years","<b>Adzenys XR-ODT (amphetamine):</b>			 This medication is a million times better than Adderall for my ADHD symptoms--lack of motivation, emotional dysregulation, sensory overload, procrastination, and feeling overwhelmed by even the simplest, most everyday tasks.  Adderall also caused side-effects such as upper gastrointestinal issues, irritability, and the dreaded crash. Adzenys does not for the most part. I also like how the drug is brand-name, I know what I'm getting each month rather than the generic roulette of Adderall, where every generic was different (yet none was as effective as Adzenys).  Finally, I think the orally disintegrating tablet (tastes good, btw) makes the drug more consistent than if it were swallowed and wholly processed via the GI system. No one seems to know about this medication, it's too bad because it is a gem for my ADHD symptoms. I hope it isn't discontinued for this reason.",0,16,2
"Amphetamine","Kracker","July 9, 2018","Taken for less than 1 month","<b>Adzenys XR-ODT (amphetamine):</b>			 I was on Vyvanse 70 mg and switched to Adzenys because I felt the Vyvanse was not working as well.  I take 18.8mg and feel this medication makes me tired and does zero for my ADHD.  I am 51 years old and found out 18.8 is for children that 12mg is the highest adults should be prescribed so I will talk to my doctor but Vyvanse worked much better.",0,4,2
"Amphetamine","JaJo22","July 3, 2018","Taken for 1 to 6 months","<b>Adzenys XR-ODT (amphetamine):</b>			 I went through Adderall IR, Adderall XR and Vyvanse before trying Adzenys, and boy am I glad I did.  Adzenys has a nice gradual come up and keeps me focused all day.  At the end of the day there is absolutely no crash at all.  This was always a major problem for me was the way these medications caused me to crash hard as they were wearing off.  If this is an issue for you, I would suggest you ask your doctor about Adzenys.  I'm glad I finally found a medication that worked so well to control my ADD.",0,6,2
"Amphetamine","Nick","June 20, 2018","Taken for 1 to 6 months","<b>Adzenys XR-ODT (amphetamine):</b>			 At first this medication worked great. Now I noticed a couple of side effects. Soreness in legs, increase urination, but worst of all was the increased agitation and dry mouth. On the plus side the medication work better then other ADHD on the market. It has increased focus and helped level off my energy. I built up a fast tolerance using the 9.3 mg. I Have only taken it for two months helpfully it keeps work!",0,5,2
"Amphetamine","Momof3adhdboys","June 15, 2018","Taken for less than 1 month","<b>Dyanavel XR (amphetamine):</b>			 This is for my 4.5yr old boy. He started after awful side effects coming down from quillivant. Those issues were better than this med. On dyanavel, he calmed down for the first couple hours and then seemed to have little control of his body and words. Extremely difficult, defiant. Not his usual self at all. Going to try something else. I too, was a mom against meds but until you have a child with these challenges you are willing to try anything for a  normal  life.",0,2,2
"Amphetamine","bipolarADD","May 19, 2018","Taken for 1 to 6 months","<b>Adzenys XR-ODT (amphetamine):</b>			 Adzenys XR-ODT gave me great, smooth, long-lasting effects. I’ve had a bit of an increase in physical anxiety/agitation, but that’s largely subsided. Also had some difficulty falling asleep, but I stopped having this effect within 2 weeks. I’m honestly amazed that I have absolutely zero crash with Adzenys, even as I’ve increased my dose a bit. I’ve always experienced crashes with ADD drugs, until I found Adzenys",0,3,2
"Amphetamine","Alice","May 14, 2018","Taken for 1 to 6 months","<b>Adzenys XR-ODT (amphetamine):</b>			 It was a lifesaver at first, but with the new box I'm taking, suddenly, I don't sleep and my leg mucles are always sore. Could this be a bad batch? Did the formula change?  I'm definitely scared.",0,4,2
"Amphetamine","Bhwde","May 13, 2018","Taken for less than 1 month","<b>Dyanavel XR (amphetamine):</b>			 My child was just recently diagnosed with ADHD and first we tried adderall. It seemed to just make him tired but it helped a little bit but not enough. So then we tried dyanavel - this stuff turns my kid into a possessed little ....(mmm what word would be good here?  He definitely wasn't nice!). it started off very good. He was listening and everything was going well, then about 4 hours after he took it, he got in a little trouble for not closing a door.  It was just a simple hey buddy come close this door... and he FLIPPED! He looked at me like he was going to stab me in my sleep and started throwing a little baby tantrum. And ever since then he acts like this every time he gets in trouble. He whines and throws a huge tantrum. He is 7 years old and does not do this without his meds. I know its different for everyone but from my experience, if your child has ADHD and has trouble focusing and listening like mine does, I do not recommend this medicine. We will be trying something else",0,6,2
"Amphetamine","Paloma01","May 1, 2018","Taken for 1 to 6 months","<b>Dyanavel XR (amphetamine):</b>			 It works but why is my daughter so so cranky and whiny after it is wearing off. It only happens with this certain medicine.",0,3,2
"Amphetamine","Concerned mama","April 29, 2018","-","<b>Evekeo (amphetamine):</b>			 We switched from vyvance in the morning and focolin in the afternoon because the cost was getting way to expensive for both and insurance wasn't allowing us to get name brand so we could use a copay card.  After switching to eveko my 11 year old son started having major anger and frustration problems in school.  His teachers said it worked well the first couple days for his focusing but then it was like he wasn't on it at all.  He started becoming extremely defiant in school, hitting himself in the face because he was mad and frustrated.  Calming him down was next to impossible.  We were getting calls on a daily basis.  Not sure how we will do it but we are more than likely going back to his previous medication.",0,9,2
"Amphetamine","Momof02","April 9, 2018","Taken for less than 1 month","<b>Dyanavel XR (amphetamine):</b>			 We just started on this for my son that has ADHD. He is 6 years old and he was on 2.5ml of dyanaval XR it wasn't working so we went up to 4ml and now its working great",0,8,2
"Amphetamine","Senior in High School","April 2, 2018","Taken for 2 to 5 years","<b>Evekeo (amphetamine):</b>			 After Adderal and Ritalin made me incredibly irritable, moody, and anxious I tried evekeo and it is my miracle drug! I've been on it for 2 years now and have no complaints. I recommend this drug if you have failed the more popular stimulants! 11/10 recomend!!",0,22,2
"Amphetamine","Beagles and Bengals","March 28, 2018","Taken for 6 months to 1 year","<b>Adzenys XR-ODT (amphetamine):</b>			 I was very disappointed with varying generics of Adderall XR for my combined ADHD. Brand was better but caused some side effects. Adzenys ODT is a million times better than either. I think my body doesn't respond well to amphetamine salts (Adderall) but does to amphetamine base (Adzenys). Or maybe some of the inactive ingredients that are artificial sweeteners in Adderall (aspartame for example) are reacting badly; I know I can't eat/drink any foods with aspartame or saccharine without getting headaches and low blood sugar, but this would still not explain why the active amphetamine in Adzenys works so much better for me, so I'm going to have to go with the salt vs base hypothesis. Adzenys doesn't make me sleepy like Adderall XR/IR, feels cleaner and smoother, works better for ADHD symptoms like impatience, impulsivity, procrastination, avolition, and task initiation and completion. I just wish there was an Adzenys IR.",0,5,2
"Amphetamine","AriesMoon","March 18, 2018","Taken for less than 1 month","<b>Adzenys XR-ODT (amphetamine):</b>			 I was on 30mg Adderall XR for about a year, which worked well for me except for the crash. It became much less effective at that dose after being on it almost a year, but my doctor has a cap on the Adderall dosage she will prescribe. Just switched to Adzenys 12.5mg at my last appointment. I've been taking it for almost a week. I'm completely unfocused and back to having trouble getting to sleep. Not that it does nothing at all...mostly I just feel like I'm in another world. My thoughts are definitely slowed down, but more distracting from reality. I'm definitely feeling really chill overall. It does last longer than Adderall, if you want to feel like you're in an other worldly state for 12 hours or more. Things effect people differently and I'm sure this is very helpful to a lot of people, but I tried to Google similar experiences and found none, so I wanted to write a review in case anyone else might be experiencing the same.",0,9,3
"Amphetamine","blah","March 13, 2018","Taken for less than 1 month","<b>Adzenys XR-ODT (amphetamine):</b>			 I have been on Adderall 20 mg 3x/day for a couple years. My doctor switched me to this med because I was experiencing increased anxiety. I have a lot of issues at home, which I think is the cause of the increase in anxiety. My doctor, however, thinks Adderall might be the cause. I know my body and this new medication just is NOT working for me. I wanted to switch back, but she wants me to try 18.8 mg instead of 12.5. I don't have much hope because it didn't do a thing for my focus or attention and my energy is completely depleted. I feel like I have been given a placebo.",0,5,3
"Amphetamine","Amanda_0407","February 3, 2018","Taken for 1 to 6 months","<b>Dyanavel XR (amphetamine):</b>			 I was that mom... the mom that was 100% against medicating my child. I fought it for years until I could no longer handle his behavior so I agreed to give something a try. He has dx of anxiety, sensory processing disorder, ODD &amp; ADHD. Our ped started him on 2.5 mL increasing to 3.5 mL throughout the  month. This medication has been life changing for him &amp; everyone else in our household. He is back to being my sweet, loving, respectful little boy &amp; is doing much better academically too! He has had zero negative side effects except a little weight loss but overall his appetite doesn’t seem to have decreased any, he sleeps well &amp; I haven’t noticed it  wearing off  later in the day. I started getting positive reports from his teachers almost immediately. I am so thankful his doctor put him on this medication, my only regret was not starting it sooner!",0,22,3
"Amphetamine","Truth76","January 28, 2018","-","<b>Evekeo (amphetamine):</b>			 Had bad experience. Very bad anxiety and depression side effects don’t try!",0,5,3
"Amphetamine","Leah2222","December 15, 2017","-","<b>Adzenys XR-ODT (amphetamine):</b>			 I had tried everything and didn't like how all of the other stimulants made me feel. My doctor mentioned this and that is was new and it blew my expectations out of the water. It incredibly useful but you don’t feel like you’re on medicine you don’t feel the highs and lows that even adderal or others cause. It’s extremely smooth and it got me back to normal.",0,6,3
"Amphetamine","AlexWood","December 4, 2017","-","<b>Dyanavel XR (amphetamine):</b>			 This is the only medication we've tried so far for my 11 year old son, but it works. His school work has done a 180 degree turn since we started on Dyanavel.  The only downside is the flavor, which he hates, but he's motivated do he takes it anyway. We haven't had any negative side effects other than reduced appetite I'm the first few months taking the medication.  He's back to raiding the fridge 24/7 now though.",0,13,3
